county,year,season,seasonal_rainfall_mm,rainy_days,heavy_rain_days,max_dry_spell_days,onset_week,temp_mean_c,temp_max_c,temp_min_c,elevation_m,drought_risk_index
Laikipia,2024,Long Rains (MAM),113.7,29,0,28,12,18.4,25.3,10.9,1937.0,0.896
Laikipia,2024,Short Rains (OND),290.3,29,2,22,3,15.9,23.2,8.1,1937.0,0.565
Laikipia,2025,Long Rains (MAM),388.4,41,6,10,4,18.4,25.5,11.0,1948.0,0.242
Lamu,2017,Long Rains (MAM),407.3,35,4,15,8,29.9,37.5,22.3,5.0,0.297
Lamu,2017,Short Rains (OND),134.3,15,3,37,5,27.2,35.1,19.1,5.0,1.0
Lamu,2018,Long Rains (MAM),287.7,23,5,25,1,29.9,37.4,21.9,5.0,0.616
Lamu,2018,Short Rains (OND),217.0,17,4,16,4,27.4,35.2,19.2,5.0,0.567
Lamu,2019,Long Rains (MAM),490.1,30,8,34,10,30.1,38.3,22.6,5.0,0.49
Lamu,2019,Short Rains (OND),495.2,40,8,10,1,27.4,35.6,20.0,5.0,0.1
Lamu,2020,Long Rains (MAM),503.5,44,5,12,5,30.1,38.0,22.1,5.0,0.121
Lamu,2021,Long Rains (MAM),89.7,17,0,17,6,30.3,38.0,22.3,5.0,0.752
Lamu,2021,Short Rains (OND),237.6,21,6,38,9,27.6,35.1,19.5,5.0,0.891
Lamu,2022,Long Rains (MAM),370.9,25,6,44,8,30.3,38.1,22.3,5.0,0.809
Lamu,2022,Short Rains (OND),167.0,12,3,22,5,27.6,34.7,19.4,5.0,0.729
Lamu,2023,Long Rains (MAM),563.9,22,9,23,4,30.3,38.6,22.9,5.0,0.216
Lamu,2023,Short Rains (OND),657.6,47,8,15,1,27.9,36.2,20.3,5.0,0.0
Lamu,2024,Short Rains (OND),268.7,19,3,21,7,27.7,35.9,20.0,5.0,0.578
Lamu,2025,Long Rains (MAM),283.1,17,5,27,4,30.3,38.1,22.4,5.0,0.655
Machakos,2017,Long Rains (MAM),95.0,12,0,20,5,22.1,29.7,14.3,1312.0,0.793
Machakos,2017,Short Rains (OND),128.8,18,1,23,6,19.3,27.3,11.4,1312.0,0.796
Machakos,2018,Long Rains (MAM),694.3,49,9,14,1,22.1,29.1,14.1,1252.0,0.0
Machakos,2018,Short Rains (OND),362.7,25,4,22,7,19.8,27.0,13.1,1226.0,0.468
Machakos,2019,Long Rains (MAM),83.1,21,0,26,11,21.6,29.0,14.0,1352.0,0.905
Machakos,2019,Short Rains (OND),564.6,60,8,6,2,18.6,26.2,11.3,1429.0,0.0
Machakos,2020,Long Rains (MAM),353.5,40,3,16,1,20.7,27.8,13.6,1524.0,0.385
Machakos,2020,Short Rains (OND),129.1,27,0,21,6,18.0,26.1,11.0,1533.0,0.764
Machakos,2021,Long Rains (MAM),204.9,27,2,26,6,21.3,28.1,13.8,1420.0,0.743
